name,mimeType,modifiedTime,webViewLink,id,matched_query
BLC Transcript Topic Map - Bootstrap MBA.md,text/markdown,2026-06-28T15:56:48.201Z,https://drive.google.com/file/d/1raPGxXEPLK06-DBXpJSpX0f4PkmO8dFO/view?usp=drivesdk,1raPGxXEPLK06-DBXpJSpX0f4PkmO8dFO,Jeff Burns
BLC Transcript Topic Map - Bootstrap MBA.csv,text/csv,2026-06-28T15:56:10.007Z,https://drive.google.com/file/d/1cimoXIdPP3pIO8ShM6s2Z8bo9uJV6jRh/view?usp=drivesdk,1cimoXIdPP3pIO8ShM6s2Z8bo9uJV6jRh,Jeffrey Burns
settings.local.json,application/json,2026-06-27T03:06:26.687Z,https://drive.google.com/file/d/1yaJR6oW_RkD3yZ7et1mVaTzhl82uFS1i/view?usp=drivesdk,1yaJR6oW_RkD3yZ7et1mVaTzhl82uFS1i,Dr. Burns
The Bootstrap Entrepreneur Ebook.docx.pdf,application/pdf,2026-06-27T03:01:17.881Z,https://drive.google.com/file/d/15t03OxidVK4lUXibA3HOFMVCl5YHG58N/view?usp=drivesdk,15t03OxidVK4lUXibA3HOFMVCl5YHG58N,Jeff Burns
launchmap.md,text/markdown,2026-06-26T21:18:14.508Z,https://drive.google.com/file/d/1LdyrxgkAFNVS-ojCklFSpbbFKS0FMeM_/view?usp=drivesdk,1LdyrxgkAFNVS-ojCklFSpbbFKS0FMeM_,Dr. Burns
message_1.json,application/json,2026-06-24T01:04:20.000Z,https://drive.google.com/file/d/1maQrIDTTPoLGSyrB-7lKUtUf5h-Z7Dzb/view?usp=drivesdk,1maQrIDTTPoLGSyrB-7lKUtUf5h-Z7Dzb,Dr. Burns
Tony Robbins_2219468638810887_2026-06-24.mp4,video/mp4,2026-06-23T17:00:28.503Z,https://drive.google.com/file/d/1GsOJBTzYaCSpnpd7LxoMsVGLYTLRvVTt/view?usp=drivesdk,1GsOJBTzYaCSpnpd7LxoMsVGLYTLRvVTt,Jeffrey Burns
Untitled.md,text/markdown,2026-06-23T16:10:29.799Z,https://drive.google.com/file/d/1NxEBVbj3OmAtv_80VGgMH4s2P0NkCduD/view?usp=drivesdk,1NxEBVbj3OmAtv_80VGgMH4s2P0NkCduD,Jeffrey Burns
fase-strategy-docs.zip,application/zip,2026-06-23T15:09:18.954Z,https://drive.google.com/file/d/1ofZf7vWnaGhLJpOoqRphRz5sOQYdI8Gb/view?usp=drivesdk,1ofZf7vWnaGhLJpOoqRphRz5sOQYdI8Gb,Dr. Burns
fase-campaign-documents.zip,application/zip,2026-06-23T15:02:21.986Z,https://drive.google.com/file/d/1GNrfeFyoGQGSubpmKiEOuVR7XotFZ1bX/view?usp=drivesdk,1GNrfeFyoGQGSubpmKiEOuVR7XotFZ1bX,Dr. Burns
FASE 30-Day Content Calendar.md,text/markdown,2026-06-23T15:02:21.900Z,https://drive.google.com/file/d/1WuYoBU4ylLMMk7-6TUoeHx966wGxOrCj/view?usp=drivesdk,1WuYoBU4ylLMMk7-6TUoeHx966wGxOrCj,Dr. Burns
FASE 30-Day Content Calendar.md,text/markdown,2026-06-23T14:05:12.233Z,https://drive.google.com/file/d/1wU7eht8S3sxT_ETE6NrnG1bGdfp12uCy/view?usp=drivesdk,1wU7eht8S3sxT_ETE6NrnG1bGdfp12uCy,Dr. Burns
99-1-rule-jv-partners.md,text/markdown,2026-06-21T03:40:52.211Z,https://drive.google.com/file/d/11SVdxYt75ZUrYaQVe1HgVq7dCDhB4tTQ/view?usp=drivesdk,11SVdxYt75ZUrYaQVe1HgVq7dCDhB4tTQ,Jeffrey Burns
seed-launch-framework.md,text/markdown,2026-06-21T03:38:40.859Z,https://drive.google.com/file/d/1sMGc4-QvIB2SywtwtfxKoHxCOjLCQFa2/view?usp=drivesdk,1sMGc4-QvIB2SywtwtfxKoHxCOjLCQFa2,Jeffrey Burns
pre-prelaunch-survey-method.md,text/markdown,2026-06-21T03:38:34.011Z,https://drive.google.com/file/d/1B3EceSkZcT-f5pmcGLXo-q_kp7LhBSoy/view?usp=drivesdk,1B3EceSkZcT-f5pmcGLXo-q_kp7LhBSoy,Jeffrey Burns
enrollment-not-selling.md,text/markdown,2026-06-21T03:31:31.903Z,https://drive.google.com/file/d/1Wcsm2QP3xRr3M-11Dms9kCqj9u21izF4/view?usp=drivesdk,1Wcsm2QP3xRr3M-11Dms9kCqj9u21izF4,Jeff Burns
three-track-launch-distribution.md,text/markdown,2026-06-20T15:23:06.880Z,https://drive.google.com/file/d/13WBGtGlckdCdAmOjAqVH_n6S0M2740gY/view?usp=drivesdk,13WBGtGlckdCdAmOjAqVH_n6S0M2740gY,Jeffrey Burns
plc-email-architecture.md,text/markdown,2026-06-20T15:22:43.176Z,https://drive.google.com/file/d/1OpqEGsGiH2IajmIFlAf8tlfH0uo6ZtQk/view?usp=drivesdk,1OpqEGsGiH2IajmIFlAf8tlfH0uo6ZtQk,Jeffrey Burns
the-ask-campaign.md,text/markdown,2026-06-20T15:21:41.680Z,https://drive.google.com/file/d/18fNasLJcOENCrflyVt_ojvWBcRdJRIud/view?usp=drivesdk,18fNasLJcOENCrflyVt_ojvWBcRdJRIud,Jeffrey Burns
PLF-video-scripts.md,text/markdown,2026-06-18T17:29:49.773Z,https://drive.google.com/file/d/1yL5NmkZHiSz4ETxNfY2xdKnlK-PE7ik-/view?usp=drivesdk,1yL5NmkZHiSz4ETxNfY2xdKnlK-PE7ik-,Jeffrey Burns
BLC Course — GHL Build Plan.md,text/markdown,2026-06-11T23:25:47.558Z,https://drive.google.com/file/d/1P40OvrApCmkSixoWnzSkTxxBTpBWOdQv/view?usp=drivesdk,1P40OvrApCmkSixoWnzSkTxxBTpBWOdQv,Jeffrey Burns
Session 09 — Mini Course.md,text/markdown,2026-06-08T15:08:39.492Z,https://drive.google.com/file/d/1JYeH5Oqz6X13fNiIt93lHtfsfZYjViaY/view?usp=drivesdk,1JYeH5Oqz6X13fNiIt93lHtfsfZYjViaY,Jeffrey Burns
FASE 30-Day Content Calendar.md,text/markdown,2026-06-07T18:56:15.097Z,https://drive.google.com/file/d/19J1cnCLZI94i_3UdkKZSWHIgkOu0Ap6h/view?usp=drivesdk,19J1cnCLZI94i_3UdkKZSWHIgkOu0Ap6h,Dr. Burns
1529727081853401.jpg,image/jpeg,2026-06-07T13:08:54.000Z,https://drive.google.com/file/d/1HSLZvdeMjUiF5UrIxT3riK3XD-tXC4oj/view?usp=drivesdk,1HSLZvdeMjUiF5UrIxT3riK3XD-tXC4oj,Jeffrey Burns
