Link Text,URL,Type,Source Page(s),HTTP status,Active,Final URL,Notes
Dental Website Design,http://www.pbhs.com/,external,http://www.jeffreyburns.com/about-us/ ; http://www.jeffreyburns.com/patient-information/ ; http://www.jeffreyburns.com/patient-information/care-credit/ ; http://www.jeffreyburns.com/patient-information/insurance/ ; http://www.jeffreyburns.com/patient-information/new-patients/ ; http://www.jeffreyburns.com/patient-information/patient-education/ ; http://www.jeffreyburns.com/patient-information/patient-registration/ ; http://www.jeffreyburns.com/patient-information/scheduling/ ; http://www.jeffreyburns.com/restorative-dentistry/ ; http://www.jeffreyburns.com/restorative-dentistry/dental-fillings/ ; +18 more,200,yes,https://www.pbhs.com/,redirects
Download Now,https://jeffrey-burns.implant-services.com/get-e-book,external,https://www.jeffreyburns.com/,200,yes,https://jeffrey-burns.implant-services.com/get-e-book,
Learn more about Register Online,https://staging.pbhshosting.com/www-jeffreyburns-com/patient-information/patient-registration/,external,http://www.jeffreyburns.com/about-us/ ; http://www.jeffreyburns.com/patient-information/ ; http://www.jeffreyburns.com/patient-information/care-credit/ ; http://www.jeffreyburns.com/patient-information/insurance/ ; http://www.jeffreyburns.com/patient-information/new-patients/ ; http://www.jeffreyburns.com/patient-information/patient-education/ ; http://www.jeffreyburns.com/patient-information/patient-registration/ ; http://www.jeffreyburns.com/patient-information/scheduling/ ; http://www.jeffreyburns.com/restorative-dentistry/ ; http://www.jeffreyburns.com/restorative-dentistry/dental-fillings/ ; +19 more,403,needs review,https://staging.pbhshosting.com/www-jeffreyburns-com/patient-information/patient-registration/,Staging PBHS registration link appears in at least one page crawl; returned 403 to verifier.
Cherry (opens in new tab),https://withcherry.com/,external,https://www.jeffreyburns.com/patient-information/insurance/cherry-credit/,200,yes,https://withcherry.com/,
withcherry.com/accessibility (opens in new tab),https://withcherry.com/accessibility,external,https://www.jeffreyburns.com/patient-information/insurance/cherry-credit/,200,yes,https://withcherry.com/accessibility,
withcherry.com/lending-partners (opens in new tab),https://withcherry.com/lending-partners,external,https://www.jeffreyburns.com/patient-information/insurance/cherry-credit/,200,yes,https://withcherry.com/financing-partners,redirects
withcherry.com/terms (opens in new tab),https://withcherry.com/terms,external,https://www.jeffreyburns.com/patient-information/insurance/cherry-credit/,200,yes,https://withcherry.com/terms,
Learn more about troubleshooting WordPress.,https://wordpress.org/documentation/article/faq-troubleshooting/,external,https://www.jeffreyburns.com/category/blog/ ; https://www.jeffreyburns.com/category/uncategorized/,200,yes,https://wordpress.org/documentation/article/faq-troubleshooting/,
Learn More & See If You Prequalify,https://www.carecredit.com/apply/,external,http://www.jeffreyburns.com/patient-information/care-credit/,200,yes,https://www.carecredit.com/apply/,
PAYMENT CALCULATOR,https://www.carecredit.com/providercenter/resourcescenter/payment_calculator/,external,http://www.jeffreyburns.com/patient-information/care-credit/,200,yes,https://www.carecredit.com/providercenter/resourcescenter/payment_calculator/,GET fallback
Image 8,http://www.jeffreyburns.com/wp-content/client-mu-plugins/rw-assets/_public/content/images/cc-bill-icon.png,file,http://www.jeffreyburns.com/patient-information/care-credit/,403,no/check,http://www.jeffreyburns.com/wp-content/client-mu-plugins/rw-assets/_public/content/images/cc-bill-icon.png,HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
Image 11,http://www.jeffreyburns.com/wp-content/client-mu-plugins/rw-assets/_public/content/images/cc-clipboard-icon.png,file,http://www.jeffreyburns.com/patient-information/care-credit/,403,no/check,http://www.jeffreyburns.com/wp-content/client-mu-plugins/rw-assets/_public/content/images/cc-clipboard-icon.png,HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
Image 7,http://www.jeffreyburns.com/wp-content/client-mu-plugins/rw-assets/_public/content/images/cc-creditcard.png,file,http://www.jeffreyburns.com/patient-information/care-credit/,403,no/check,http://www.jeffreyburns.com/wp-content/client-mu-plugins/rw-assets/_public/content/images/cc-creditcard.png,HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
Image 9,http://www.jeffreyburns.com/wp-content/client-mu-plugins/rw-assets/_public/content/images/cc-hospital-icon.png,file,http://www.jeffreyburns.com/patient-information/care-credit/,403,no/check,http://www.jeffreyburns.com/wp-content/client-mu-plugins/rw-assets/_public/content/images/cc-hospital-icon.png,HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
Image 10,http://www.jeffreyburns.com/wp-content/client-mu-plugins/rw-assets/_public/content/images/cc-money-icon.png,file,http://www.jeffreyburns.com/patient-information/care-credit/,403,no/check,http://www.jeffreyburns.com/wp-content/client-mu-plugins/rw-assets/_public/content/images/cc-money-icon.png,HEAD failed; GET failed: <HTTPError 403: 'Forbidden'>
Image 1: profile picture of Bryana,https://master-cherry-storage.s3.us-west-2.amazonaws.com/static/widgets/images/1.png,file,https://www.jeffreyburns.com/patient-information/insurance/cherry-credit/,200,yes,https://master-cherry-storage.s3.us-west-2.amazonaws.com/static/widgets/images/1.png,
Image 2: profile picture of Alex,https://master-cherry-storage.s3.us-west-2.amazonaws.com/static/widgets/images/2.png,file,https://www.jeffreyburns.com/patient-information/insurance/cherry-credit/,200,yes,https://master-cherry-storage.s3.us-west-2.amazonaws.com/static/widgets/images/2.png,
